County,Year,LST,Precipitation,NDVI,RH,avg_temp,max_temp,min_temp,Cases
Maricopa,2009,38.10804603,0.499296046,0.202147682,55.13137366,22.2938126,35.372,10.717,0
Navajo,2009,29.18565832,0.60603569,0.204955395,75.620297,11.9417947,25.662,-0.485,13
Apache,2009,27.12159404,0.712316835,0.234702411,79.69057204,10.65177554,24.735,-1.464,0
Pima,2010,37.21944198,0.699736719,0.195087829,59.7412282,20.64863844,34.037,9.576,0
Santa Cruz,2010,32.17608726,1.066610786,0.295995825,64.50377243,17.14085448,30.596,6.038,0
Gila,2010,28.35709377,1.372553103,0.369647395,62.25225866,15.04978098,27.811,1.846,1
Yuma,2010,40.48706704,0.299709673,0.145619422,60.95858099,23.33258438,36.196,11.453,0
Cochise,2010,33.27959298,0.913782003,0.236472151,65.38183636,16.97446241,29.291,4.989,0
Yavapai,2010,31.09572151,1.048756419,0.2939472,63.83529841,15.24429778,28.29,1.878,0
La Paz,2010,39.0824192,0.37174586,0.157246946,57.54418979,22.48151421,35.151,11.121,0
Mohave,2010,32.7346784,0.721049388,0.212061421,57.67995616,16.52435751,29.754,4.908,1
Coconino,2010,27.44284981,0.885306235,0.238176655,75.04645407,11.5168994,25.466,-1.218,0
Greenlee,2010,28.45337944,1.108857573,0.316398468,70.01744781,13.50816766,24.817,-0.852,0
Graham,2010,32.56425092,0.917775559,0.263613292,66.22745014,16.51947695,28.845,3.788,0
Pinal,2010,36.88482006,0.734279851,0.223257162,57.53047143,20.96083086,34.128,9.314,0
Maricopa,2010,38.4262424,0.543068882,0.19790541,56.16398979,22.03172762,34.599,10.015,0
Navajo,2010,29.00871141,0.72158963,0.204485537,77.27359452,11.72741919,25.248,-0.909,15
Apache,2010,27.04973806,0.820057795,0.236384507,81.39343069,10.54616505,24.285,-1.854,0
Pima,2011,37.2848076,0.685731579,0.194383239,57.43992288,21.06525346,34.622,8.871,24
Santa Cruz,2011,32.9784081,0.995123675,0.286188717,60.64183606,17.68607572,31.854,5.476,0
Gila,2011,29.25706161,1.043853798,0.360034714,59.51282102,15.70150461,28.775,1.219,21
Yuma,2011,40.58412348,0.274611716,0.13880327,59.13553545,23.66739977,36.802,10.918,0
Cochise,2011,34.41514591,0.77485983,0.221550801,61.2623691,17.64590018,30.747,4.74,0
Yavapai,2011,31.76243128,0.868106518,0.286573032,60.26281003,15.79809573,28.77,1.202,0
La Paz,2011,39.1831794,0.328471542,0.144984035,54.8630272,22.82066138,35.794,10.005,0
Mohave,2011,32.9578586,0.616292253,0.209326009,52.85071123,17.09975649,29.94,4.484,0
Coconino,2011,28.08993711,0.781668501,0.246011876,69.60503354,12.27128705,25.768,-2.044,0
Greenlee,2011,29.59600947,0.909322902,0.298893065,66.73410308,14.27969297,26.089,-1.331,0
Graham,2011,33.44474646,0.726499055,0.253054894,62.5819446,17.25661885,30.037,3.741,1
Pinal,2011,37.30724746,0.614723632,0.21131608,55.401678,21.47114827,34.614,8.9,1
Maricopa,2011,38.85719102,0.41690873,0.184334489,54.60246584,22.44118137,35.166,9.515,0
